ID,Name,Abbreviation,Conference,Division
1,Arizona Cardinals,ARI,NFC,West
2,Atlanta Falcons,ATL,NFC,South
3,Baltimore Ravens,BAL,AFC,North
4,Buffalo Bills,BUF,AFC,East
5,Carolina Panthers,CAR,NFC,South
6,Chicago Bears,CHI,NFC,North
7,Cincinnati Bengals,CIN,AFC,North
8,Cleveland Browns,CLE,AFC,North
9,Dallas Cowboys,DAL,NFC,East
10,Denver Broncos,DEN,AFC,West
11,Detroit Lions,DET,NFC,North
12,Green Bay Packers,GB,NFC,North
13,Houston Texans,HOU,AFC,South
14,Indianapolis Colts,IND,AFC,South
15,Jacksonville Jaguars,JAX,AFC,South
16,Kansas City Chiefs,KC,AFC,West
17,Las Vegas Raiders,LV,AFC,West
18,Los Angeles Chargers,LAC,AFC,West
19,Los Angeles Rams,LAR,NFC,West
20,Miami Dolphins,MIA,AFC,East
21,Minnesota Vikings,MIN,NFC,North
22,New England Patriots,NE,AFC,East
23,New Orleans Saints,NO,NFC,South
24,New York Giants,NYG,NFC,East
25,New York Jets,NYJ,AFC,East
26,Philadelphia Eagles,PHI,NFC,East
27,Pittsburgh Steelers,PIT,AFC,North
28,San Francisco 49ers,SF,NFC,West
29,Seattle Seahawks,SEA,NFC,West
30,Tampa Bay Buccaneers,TB,NFC,South
31,Tennessee Titans,TEN,AFC,South
32,Washington Redskins,WAS,NFC,East
